PuzzleId,FEN,Moves,Rating,Title,Themes,Description,Stars,User,GameURL
003jb,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,983,Tenedor Básico Ganar Pieza,crushing fork master middlegame short,Defensa Francesa: Ataque doble (tenedor) básico para ganar pieza.,5,Lichess,https://lichess.org/960EzUS0/black#22
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1007,Tenedor Final Sencillo,crushing endgame fork short,Tenedor en final de partida sencillo.,5,Lichess,https://lichess.org/n0UvwK36#73
003md,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2134,Defensa Precisa Larga,crushing defensiveMove middlegame veryLong,Defensa Petrov (Rusa): Defensa precisa en secuencia muy larga.,5,Lichess,https://lichess.org/ALtR2fxT#19
003mh,r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP2P2/1K2Q1NR b - - 1 23,a8e8 e1e8 f8e8 d5f6 e8e7 f6g4,1424,Sacrificio y Tenedor,advantage attraction fork long middlegame sacrifice,Sacrificio de atracción seguido de tenedor.,5,Lichess,https://lichess.org/HSa4keKZ/black#46
003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1287,Ataque Rey Clavada,crushing kingsideAttack master middlegame pin short,Ataque al rey usando una clavada en medio juego.,5,Lichess,https://lichess.org/p85fiZcl#57
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P4/8/PPP2PPP/R1BQK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1003,Tenedor Apertura Material,advantage fork master opening short,Defensa Checa: Tenedor en la apertura para ganar material.,5,Lichess,https://lichess.org/Ae0t9V1Z#17
003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1107,Ataque Doble Decisivo,crushing fork middlegame short,Gambito de Rey: Ataque doble decisivo en medio juego.,5,Lichess,https://lichess.org/JPN97v7j#29
003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1887,Descubierta con Clavada,advantage discoveredAttack middlegame pin short,Ataque a la descubierta con clavada.,5,Lichess,https://lichess.org/W3wvnzlo#47
0040n,r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1q/2K4R w - - 0 20,h1h2 g3h2 f3h3 f6g4,1233,Ventaja Peón Avanzado,advancedPawn advantage endgame short,Peón avanzado que genera ventaja en el final.,5,Lichess,https://lichess.org/WIUWcrdG#39
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,438,Mate Pasillo Fácil,backRankMate mate mateIn2 middlegame short,Mate del pasillo en 2 jugadas (muy fácil).,5,Lichess,https://lichess.org/DuM2FZjg/black#48
00465,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,594,Mate Pasillo Básico,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,Mate del pasillo en 1 jugada (básico).,5,Lichess,https://lichess.org/h21VtqGG/black#54
0047P,8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56,g2f1 b3b1 f1e2 b1b2 e2d1 b2a2,1769,Tenedor al Rey Expuesto,crushing endgame exposedKing fork long master,Final con tenedor y rey expuesto.,5,Lichess,https://lichess.org/Gb33KZKC#111
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d43,1163,Torres y Rey Expuesto,crushing endgame exposedKing long rookEndgame,Final de torres ganador aprovechando rey expuesto.,5,Lichess,https://lichess.org/dq15P00L#69
004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1711,Ventaja Final Avanzado,advantage endgame short,Final corto de nivel avanzado para obtener ventaja.,5,Lichess,https://lichess.org/aFlzjb1K#81
004Ax,8/8/4R1kp/p7/5rPK/8/7P/8 b - - 2 42,g6f7 e6h6 f4f6 h6h7 f7g6 h7a7,1987,Torres Rey Expuesto,crushing endgame exposedKing long rookEndgame,Final de torres con rey expuesto y ventaja decisiva.,5,Lichess,https://lichess.org/x2mMwVJD/black#84
004BW,r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13,e5f7 d8e7 g7g8 f6g8,1790,Ventaja Posicional Experta,advantage master middlegame short,Defensa Siciliana: Ventaja posicional en medio juego de nivel experto.,5,Lichess,https://lichess.org/EXlG6TZs#25
004JD,3r4/R7/2p5/p1P2p2/1p4k1/nP6/P2KNP2/8 w - - 3 41,d2e3 a3c2,1271,Mate Arrinconado Final,cornerMate endgame mate mateIn1 oneMove,Mate en 1 movimiento arrinconando al rey en el final.,5,Lichess,https://lichess.org/6vTeEc3x#81
004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1203,Promoción y Desviación,advancedPawn crushing defensiveMove deflection endgame long promotion,Final con promoción de peón y desviación defensiva.,5,Lichess,https://lichess.org/drahwNdj#95
004Lu,8/p1p4p/4Pk6/2PP1p1P/1r3r2/5B2/P3RK2/8 b - - 3 38,f6e7 d5d6 c7d6 c5d6 e7d6 e6e7,1152,Peón contra Rey Expuesto,advancedPawn advantage endgame exposedKing long master,Uso de peón avanzado contra rey expuesto en el final.,5,Lichess,https://lichess.org/WMeZuWza/black#76
004Op,2kr2r1/1bp4n/1pq1p2p/p1P5/1P3B2/P6P/5RP2/RB2Q1K1 w - - 3 26,e1f1 d8d1 f1d1 g8g2 g1f1 g2g1 f1e2 g1d1,2274,Sacrificio y Rayos X,crushing deflection kingsideAttack middlegame pin sacrifice skewer veryLong,Ataque complejo con sacrificio y rayos X nivel maestro.,5,Lichess,https://lichess.org/tneg9Bzk#51
004RF,5rk1/5ppp/1p6/1qp2P1Q/3p3P/6R1/6PK/8 b - - 0 30,c5c4 g3g7 g8g7 f5f6 g7f6 h5b5,1746,Atracción y Descubierta,attraction crushing discoveredAttack endgame long sacrifice,Ataque a la descubierta y atracción en el final.,5,Lichess,https://lichess.org/2UeWcE4h/black#60
004Ud,r1bqk2r/p3Bppp/3p4/1ppn4/4P3/4Q3/PPP2PPP/2K1R1 b kq - 0 11,d5e7 f1b5 c8d7 d1d6 d7b5 d6d8,1617,Interferencia Táctica Medio Juego,advantage interference long middlegame,Apertura de los Tres Caballos: Tema táctico de interferencia en el medio juego.,5,Lichess,https://lichess.org/pJ7nXTvE/black#22
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26,f1g1 c6h1,891,Mate Sencillo Medio Juego,mate mateIn1 middlegame oneMove,Mate en 1 jugada sencillo en medio juego.,5,Lichess,https://lichess.org/BQIdXPOM#51
004X6,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/Rr1K1 w - - 1 26,a1b1 b8b1 d2d1 b1d1,1152,Mate en Dos Final,endgame mate mateIn2 short,Mate en 2 jugadas en el final.,5,Lichess,https://lichess.org/wvPFkjF9#51
004XI,8/3kqp2/4p3/p2p4/3P1P2/4P1g3/7r/1QR2K2 b - - 1 34,e7a3 b1b7 d7e8 c1c8,982,Secuencia Mate Final,endgame mate mateIn2 short,Secuencia de mate en 2 en el final.,5,Lichess,https://lichess.org/54fnArpo/black#68
004Ys,r4rk1/3q1pbp/p1n1p1p1/2p3NP/1p3B2/3P3Q/PPP3P1/R3R1K1 b - - 2 19,d7d4 f4e3 d4f6 e1f1 f6e5 h5g6 e5e3 h3e3,2299,Defensa Maestra Secuencia,advantage defensiveMove middlegame veryLong,Defensa Siciliana: Defensa precisa en secuencia larga nivel maestro.,5,Lichess,https://lichess.org/LcIJdugn/black#38
004b0,5kB1/4b3/4P3/2p2P2/2b5/8/p7/B6K w - - 4 48,g8f7 e7g5 f5f6 g5e3 a1e5 e3f4 e5f4 a2a1q,2368,Coronación Final Alfiles,advancedPawn bishopEndgame crushing deflection endgame promotion quietMove veryLong,Final de alfiles complejo con jugada silenciosa y coronación.,5,Lichess,https://lichess.org/CJKIi1QJ#95
004d8,8/4kr2/R2p4/1p1Pp1p1/5p2/3K1P2/PPP5/8 b - - 0 39,g5g4 a6a7 e7f6 a7f7 f6f7 f3g4,1608,Imponer Ventaja Torres,crushing endgame long rookEndgame,Final de torres largo para imponer ventaja.,5,Lichess,https://lichess.org/FrR3BHbW/black#78
004iZ,r2r2k1/2q1bpp1/3p1n1p/1pp5/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,469,Mate Fácil al Rey,kingsideAttack mate mateIn1 middlegame oneMove,Mate en 1 jugada muy fácil atacando al rey.,5,Lichess,https://lichess.org/dQ85JUe1/black#40
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1209,Sacrificio Mate en Tres,kingsideAttack long mate mateIn3 middlegame sacrifice,Apertura Ruy López: Sacrificio para lograr mate en 3 jugadas.,5,Lichess,https://lichess.org/Cl9T6bjt#31
004mT,5Q2/8/1b1kp1p1/5p2/34/5qPK/7P/8 b - - 1 51,d6c6 f8a8 c6d6 a8f3,1287,Ganancia por Enfilada,advantage endgame short skewer,Ganancia de material mediante rayos X (enfilada).,5,Lichess,https://lichess.org/Jqhi4ozb/black#102
004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,898,Tenedor Básico Medio Juego,crushing fork middlegame short,Ataque doble (tenedor) básico en medio juego.,5,Lichess,https://lichess.org/IajkZZBp/black#48
004sY,8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2191,Final Contundente Maestro,crushing endgame short,Final contundente de nivel maestro.,5,Lichess,https://lichess.org/sMrTPfXp#113
004sg,6k1/p3b2p/1p1pP3/2p5/1Pnp4/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2394,Despeje y Jugada Tranquila,advantage clearance endgame hangingPiece long quietMove,Despeje de líneas y jugada tranquila nivel Gran Maestro.,5,Lichess,https://lichess.org/pSRIvt7K#75
004u0,6k1/ppq3pp/2p1rp2/45r3/44/P5RP/1P3PP1/3R2K1 b - - 3 34,e6e8 d1d7 c7d7 g4d7,1386,Ventaja Final Intermedio,advantage endgame short,Obtención de ventaja en final intermedio.,5,Lichess,https://lichess.org/3gEqoQeQ/black#68
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1451,Mate Final Un Movimiento,endgame mate mateIn1 oneMove,Mate en 1 movimiento en el final.,5,Lichess,https://lichess.org/HE33gdt4/black#54
004zh,4b1k1/4e7/3R2pp/1ppBP1q1/8/PP4P1/2P4P/3R3K b - - 2 38,g5h5 d1f1 g87 d5f7 e8f7 d6d8 h5e5 f1f7 g7f7 e7e8q e5e8 d8e8,2624,Final Complejo Táctico,advancedPawn attraction crushing endgame exposedKing intermezzo pin promotion quietMove veryLong,Final muy complejo con múltiples temas tácticos.,5,Lichess,https://lichess.org/sYeKSrqj/black#76
0050w,5rk1/1p2p1rp/p2p4/2pPb2R/2P1P3/1P1BKP1R/8/8 b - - 4 30,g7g3 h3g3 e5g3 h5g5 g8f7 g5g3,1066,Tenedor Largo Final,crushing endgame fork long,Ataque doble (tenedor) en secuencia larga de final.,5,Lichess,https://lichess.org/QD8pUcTR/black#60
0054a,r1b2rk1/ppq2ppp/8/4b2Q/4R3/3B4/PP3PPP/R1B3K1 b - - 1 15,g7g6 h5e5 c7e5 e4e5,1484,Ventaja Posicional,advantage middlegame short,Apertura de Peón de Dama: Ventaja posicional en medio juego.,5,Lichess,https://lichess.org/kZlE1pvD/black#30
0055Y,r1b2rk1/p3pp2/2B4b/2Q5/3N4/4P3/2P2PPP/1R2K2R b K - 1 23,h6e3 f2e3 e5e3 e1d1,2041,Recurso Defensivo Experto,advantage defensiveMove middlegame short,Recurso defensivo para mantener ventaja nivel experto.,5,Lichess,https://lichess.org/7Jpwzowt/black#46
005Bm,4rk2/p1q5/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 b - - 0 43,c7f7 h4g6 f8g8 f6h8,1229,Mate con Clavada,endgame mate mateIn2 pin short,Mate en 2 aprovechando una clavada.,5,Lichess,https://lichess.org/KKslCMev/black#86
005Ep,5kr1/ppR3p1/3R3p/8/1r1n4/8/1P3PPP/2K5 b - - 4 31,d4b5 d6d8,950,Mate Básico Final,endgame mate mateIn1 oneMove,Mate en 1 jugada básico en el final.,5,Lichess,https://lichess.org/ttFEoJfQ/black#62
005HG,r2q1rk1/p1p2pp1/3bbn1p/4N3/2Q5/1P4P1/PB1PPP1P/RN2K2R w KQ - 1 12,c4c2 d6e5 b2e5 d8d5 f2f3 d5e5,1744,Despeje y Ataque Doble,advantage clearance fork long opening,Apertura Inglesa: Despeje y ataque doble en la apertura.,5,Lichess,https://lichess.org/JTymzeq9#23
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB2PP/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,666,Mate Pasillo Fácil,backRankMate endgame hangingPiece mate mateIn2 short,Mate del pasillo en 2 jugadas (fácil).,5,Lichess,https://lichess.org/jxZhmGhg/black#64
005YM,5k2/p4pp1/1qn6r/3pP2p/5P2/1NPQ4/Pr3RPP/R5K1 w - - 5 24,b3d4 b2f2 g1f2 c6d4 d3d4 b6b2,2413,Lucha Posicional Maestra,advantage long middlegame,Lucha posicional larga de nivel maestro.,5,Lichess,https://lichess.org/fDmK2ipV#47
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1823,Defensa para Igualar,defensiveMove equality middlegame short,Jugada defensiva para igualar la posición.,5,Lichess,https://lichess.org/zbi5w5Qy#49
005do,7r/pp1k4/4p1b1/3pP1Np/3P1P1K/8/P7/2R5 b - - 7 42,h8f8 c1c7 d7c7 g5e6 c7b6 e6f8,1439,Atracción y Desviación,attraction crushing deflection endgame fork long sacrifice,Atracción y desviación para un ataque doble.,5,Lichess,https://lichess.org/Q1hPi58C/black#84
005f3,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,1902,Sacrificio Final Largo,crushing endgame sacrifice veryLong,Sacrificio decisivo en un final largo.,5,Lichess,https://lichess.org/Prb24UzR/black#64
005jJ,r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 1 10,d4e5 d6e5 f4h2 e5e4,1215,Ventaja en Apertura,advantage opening short,Apertura de Peón de Dama: Ventaja obtenida en la fase de apertura.,5,Lichess,https://lichess.org/wt6Q2xGb#19
005jR,8/5p1k/1P4pp/3Q5/4BP2/6P1/1p2P2P/2q3K1 w - - 1 34,g1f2 b2b1q e4b1 e5g4 f2f3 c1h1,2779,Coronación Nivel Alto,advancedPawn crushing endgame long promotion,Coronación de peón en final de altísimo nivel.,5,Lichess,https://lichess.org/ltr8kYV9#67
005nD,3rk2r/2qn1pp1/p1Q1R3/3n3p/8/8/PP4PP/5R1K b k - 0 23,f7e6 c6e6 d5e7 e6f7,1028,Tenedor a Mate,fork mate mateIn2 middlegame short,Ataque doble que lleva a mate en 2.,5,Lichess,https://lichess.org/hlgaj6lV/black#46
005qG,8/8/1p1k1p1p/3npp2/2B5/PP1K1PP1/7P/8 b - - 0 36,f5f4 c4d5 f4g3 h2g3 d6d5 g3g4,2310,Defensa Precisa Maestra,crushing defensiveMove endgame long,Defensa precisa en final de nivel maestro.,5,Lichess,https://lichess.org/RMj9gStA/black#72
005wJ,r3kb1r/ppqn1ppp/4pn2/1Q2Nb2/3P4/8/PP2PPPP/RNB1KB1R w KQkq - 4 9,e5d7 c7c1,1537,Mate por Error Grave,hangingPiece mate mateIn1 oneMove opening,Apertura de Peón de Dama: Mate en 1 en apertura tras error grave del rival.,5,Lichess,https://lichess.org/2mU9GJhQ#17
005ws,8/8/5pp1/3K3p/3N2kP/8/8/8 w - - 2 62,d5e6 g6g5 h4g5 f6g5 e6d5 h5h4 d5e4 h4h3 d4f3 g4g3,2342,Técnica Final Caballos,crushing endgame knightEndgame master masterVsMaster quietMove veryLong,Final de caballos técnico y largo nivel maestro.,5,Lichess,https://lichess.org/LOwACSXb#123
005wy,1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2P3P3/PP1N4/2KR1R w - - 3 27,h5h7 c6b4 c3b4 b8c8 d2c4 c8c4,1901,Sacrificio Mate en 3,long mate mateIn3 middlegame queensideAttack sacrifice,Sacrificio para mate en 3 en el flanco de dama.,5,Lichess,https://lichess.org/mBQMheB4#53
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13,d1c1 e2c2,886,Mate Sencillo Flanco,mate mateIn1 middlegame oneMove queensideAttack,Apertura Italiana: Mate en 1 jugada sencillo atacando el flanco.,5,Lichess,https://lichess.org/TiwHxq8n#25
005xu,8/3k4/1K1P4/2P3r1/4R7/5b2/8/8 b - - 0 68,g5g8 a4a7 d7e6 a7e7 e6d5 d6d7,1914,Peón y Rey Expuesto,advancedPawn crushing endgame exposedKing long,Explotación de rey expuesto con peón avanzado.,5,Lichess,https://lichess.org/TDu28XvE/black#136
005yO,r1r3k1/ppq3bQ/4p2p/4n3/3p4/2P5/PBB2PPP/4R1K1 b - - 2 24,g8f8 b2a3 f8f7 c2d1 c8h8 d1h5 f7f6 h7e4,3086,Jugada Sutil Profunda,advantage exposedKing middlegame quietMove veryLong,Secuencia muy profunda con jugada sutil (nivel motor).,5,Lichess,https://lichess.org/j65YI8hC/black#48
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,801,Mate Fácil Final,endgame mate mateIn2 short,Mate en 2 jugadas fácil en el final.,5,Lichess,https://lichess.org/dJ3xEKJK/black#54
00656,7r/ppp2kp1/2nb6pp6/3p3r/3P2q1/2PQB2P/PP3PP1/R3R1K1 w - - 0 18,h3g4 h5h1,641,Mate Principiante,mate mateIn1 middlegame oneMove,Defensa Escandinava: Mate en 1 movimiento para principiantes.,5,Lichess,https://lichess.org/V9os02rv#35
0068B,r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18,f6d7 d2d7 c8d7 f3a8,1423,Desviación Medio Juego,crushing deflection middlegame short,Defensa Siciliana: Táctica de desviación en el medio juego.,5,Lichess,https://lichess.org/LNdzAgWP/black#36
0068D,7r/pppk4/2pb1r2/8/2NP2p1/2P5/PP2RPP1/4R1K1 w - - 2 26,c4d6 f6h6 f2f4 g4g3 e2e7 d7d6 g1f1 h6h1,1918,Convertir Ventaja Final,crushing endgame veryLong,Final largo para convertir una ventaja decisiva.,5,Lichess,https://lichess.org/WNAZgV2o#51
006E1,5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4n1K1 w - - 0 34,f1e1 f8e8 e1f1 g4h3 d5g2 e8e1 f1e1 h3g2,1640,Desviación Final Largo,crushing deflection endgame veryLong,Desviación en final largo nivel intermedio-alto.,5,Lichess,https://lichess.org/KaLKLKD5#67
006GK,2kr1br1/ppBb1ppp/8/3P2Q1/3n2n1/5N2/PP3qPP/RN2R2K b - - 0 16,d4f3 g5d8,1020,Mate Apertura Flanco,mate mateIn1 oneMove opening queensideAttack,Apertura Italiana: Mate en 1 en la apertura atacando el flanco de dama.,5,Lichess,https://lichess.org/CSpoYrv7/black#32
006HV,1r6/5k2/2p1pNp6/p5Pp/1pQ1P2P/2P4R/KP3P2/3q1 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1145,Mate Final Dos Jugadas,endgame mate mateIn2 short,Mate en 2 jugadas en el final.,5,Lichess,https://lichess.org/ibb2c72C#61
006NL,1r6/k2qn1b1/p1b1p1p1/2PpPpN1/24N1P1P/3B4/1PP2Q2/1K1R3R w - - 0 32,d4c6 e7c6 b2b3 a3a2 b1a1 c4e5 f4e5 g7e5 a1a2 b8b5,2545,Clavada y Peón GM,advancedPawn advantage middlegame pin veryLong,Clavada y peón avanzado en juego de Gran Maestro.,5,Lichess,https://lichess.org/yA3M5Q6W#63
006OI,8/p7/5k2/P5R1/6KP/8/8/5r2 w - - 5 53,g5g8 f1g1 g4f4 g1g8,843,Enfilada Final Torres,crushing endgame rookEndgame short skewer,Rayos X (enfilada) en final de torres sencillo.,5,Lichess,https://lichess.org/6AH1H5wg#105
006RM,1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29,c7c5 b4c5 b6c5 d3d6 d8d6 d1d6,1448,Ataque Sostenido,crushing long middlegame,Ataque sostenido en el medio juego.,5,Lichess,https://lichess.org/ceS0QvtT/black#58
006XF,r5kr/pp1qb1p1/2p4p/3pPb5H/3P4/2P1B3/PP4PP/R4RK1 b - - 1 17,f5e4 h5f7 g8h7 f1f6 e7f6 f7d7,2370,Clavada Nivel Maestro,advantage long middlegame pin,Defensa Petrov (Rusa): Uso de la clavada en medio juego nivel maestro.,5,Lichess,https://lichess.org/Ynra1LLE/black#34
006cZ,3r1rk1/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K b - - 7 28,g8h8 d2d3 d8d3 g6d3,1376,Ventaja Táctica Maestra,advantage master masterVsMaster middlegame short,Ventaja táctica en posición de partida maestra.,5,Lichess,https://lichess.org/qrbDEp56/black#56
006fF,r1b4r/pp1k2pp/2nb6q/1B1p2B1/3p3Q/8/PPP2PPP/3RR1K1 b - - 5 17,h7h6 h4g4 d7c7 g5d8 h8d8 g4g6,1995,Descubierta al Rey,advantage discoveredAttack exposedKing long middlegame,Apertura Italiana: Ataque a la descubierta contra rey expuesto.,5,Lichess,https://lichess.org/mAf9SSin/black#34
006i7,r4rk1/3nqpp1/2p1bn1p/3pN3/1p1P4/2N3P3/1PB2PP1/R4RK1 w - - 0 18,e5c6 e7d6 a1a8 f8a8 c6b4 d6b4,1769,Ganar Ventaja Posicional,advantage long middlegame,Gambito de Dama Rehusado: Secuencia larga de medio juego para ganar ventaja.,5,Lichess,https://lichess.org/77CYKPKY#35
006ia,1r4k1/4bpp1/1rp2n1p/3p4/3P4/2N1B1P1/P2Q2PK/2R1R3 w - - 3 24,e3h6 b2e2 e1e2 e7a3 h6e3 a3c1,2073,Lucha Posicional Larga,advantage long middlegame,Lucha posicional larga nivel experto.,5,Lichess,https://lichess.org/fcKXrUhC#47
006of,r2qr2k/1pp2pp1/1b4np/pP2P3/P4n2/BQN2N1P/5PP1/R3R1K1 w - - 3 20,b3f7 d8d3 c3e2 f4e2 e1e2 d3e2,2575,Ataque Flanco Rey GM,advantage kingsideAttack long middlegame,Ataque al flanco de rey nivel Gran Maestro.,5,Lichess,https://lichess.org/MIdWd89x#39
006om,1r3k2/5p1p/2p1pp2/P2n4/2r14/P4PK1/2R2P1P/2R5 b - - 9 29,c4a4 e4c5 a4a5 c5d7 f8g7 d7b8,1910,Tenedor Final Experto,crushing endgame fork long master,Ataque doble (tenedor) decisivo en final experto.,5,Lichess,https://lichess.org/BMIgw1OR/black#58
006pe,r4r2/2q1NN2/4bQpk/2n4p/4p4/8/1PP2PP1/2KR1R1 b - - 0 28,e6f7 e7f5 h6h7 f6g7,1661,Mate por Clavada,master mate mateIn2 middlegame pin short,Mate en 2 explotando una clavada.,5,Lichess,https://lichess.org/gkSEAS27/black#56
006wz,2r5/4ppkp/5bp1/1p6/1P6/P3B3/2r2PPP/1R1R1K1 b - - 2 22,f6b2 b1b2 c2b2 e3d4 f7f6 d4b2,1428,Sacrificio y Tenedor,attraction crushing endgame fork long sacrifice,Sacrificio de atracción seguido de tenedor.,5,Lichess,https://lichess.org/qT0W6o27/black#44
006yP,6R1/8/Kpk1p3/1p1pP3/6P1/PPP1r3/8/8 b - - 3 40,e3c3 g8c8 c6d7 c8d7 c8c3,819,Enfilada Torres Básico,crushing endgame master rookEndgame short skewer,Rayos X (enfilada) en final de torres básico.,5,Lichess,https://lichess.org/vf9MOLH1/black#80
0071K,3N1r2/6R1/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2C1K5 w - - 0 38,g7a7 a6a7 h5h7 a7a6,1137,Captura tras Defensa,crushing defensiveMove endgame hangingPiece short,Captura de pieza colgada tras defensa.,5,Lichess,https://lichess.org/gY0ZkxR4#75
0071N,6k1/p4pp1/1p5p/4b3/4B3/4P1P1/Pp2PK2/3r4 b - - 1 30,b2b1q c2c8 d1d8 c8d8,610,Mate Fácil Dos Movimientos,endgame mate mateIn2 short,Mate en 2 movimientos muy fácil.,5,Lichess,https://lichess.org/HRlw71ON/black#60
0072T,3q1nk1/1bN2rpp/pp1P4/1N6/4n2b/8/PPP2PPP/R1BQ1RK1 w - - 1 16,b5d4 h4f2 f1f2 e4f2,2312,Ataque Maestro al Rey,advantage kingsideAttack master middlegame short,Defensa Philidor: Ataque al rey en partida de nivel maestro.,5,Lichess,https://lichess.org/aqhibPRF#31
00734,rn3bk1/2rq7/2p3p1/3p1p2/3P1P1H/pP1BP3/P2Q2PR/1K1R4 b - - 0 26,b8a6 d3f5 e7e6 f5g6,1661,Ganancia por Clavada,crushing middlegame pin short,Ganancia decisiva usando una clavada.,5,Lichess,https://lichess.org/jM0Jnw0u/black#52
00761,3r2k1/1b3pbR/p2P2P1/3p2N1/2p5/2P2N2/PP6/2K5 b - - 0 28,f7g6 h7g7 g8g7 g5e6 g7g8 e6d8,1525,Sacrificio y Tenedor Final,attraction crushing endgame exposedKing fork long sacrifice,Sacrificio de atracción y tenedor en final.,5,Lichess,https://lichess.org/vu70Maig/black#56
0078T,rk5r/1b3R2/pp2p2q/4P2p/B2p3B/4R2P/PP4P1/5Q1K b - - 0 27,d4e3 f7b7 b8b7 f1f7 b7b8 h4e7,2248,Sacrificio Flanco Dama,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,Ataque complejo con sacrificio al flanco de dama.,5,Lichess,https://lichess.org/mXf4gFYU/black#54
007AH,3r1n2/1bp1bkpp/p1q2n2/1p6/3P4/P1N3B1/1PP2PPP/R2QR1K1 w - - 5 18,d1e2 c6g2,721,Mate al Rey,kingsideAttack master mate mateIn1 middlegame oneMove,Defensa Escandinava: Mate en 1 jugada atacando al rey.,5,Lichess,https://lichess.org/MCM1Gmz4#35
